IndID;Indicator;EcosystemComponent;EcosystemComponentID;D1C1;D1C2;D1C3;D1C4;D1C5;D1C6;D4C1;D4C2;D4C3;D4C4;D6C4;D6C5
1;Harbour porpoise distribution and abundance;Harbour porpoise;60;;1;;;;;;;;;;
2;Distribution of Baltic seals - Ringed seal, breeding;Ringed seal;63;;;;1;;;;;;;;
3;Distribution of Baltic seals - Ringed seal, moulting;Ringed seal;63;;;;1;;;;;;;;
4;Distribution of Baltic seals - Ringed seal, occupancy;Ringed seal;63;;;;1;;;;;;;;
5;Distribution of Baltic seals - Grey seal, breeding;Grey seal;61;;;;1;;;;;;;;
6;Distribution of Baltic seals - Grey seal, moulting;Grey seal;61;;;;1;;;;;;;;
7;Distribution of Baltic seals - Grey seal, occupancy;Grey seal;61;;;;1;;;;;;;;
8;Distribution of Baltic seals - Harbour seal, breeding;Harbour seal;62;;;;1;;;;;;;;
9;Distribution of Baltic seals - Harbour seal, moulting;Harbour seal;62;;;;1;;;;;;;;
10;Distribution of Baltic seals - Harbour seal, occupancy;Harbour seal;62;;;;1;;;;;;;;
11;Population trends and abundance of seals - Ringed seal, abundance;Ringed seal;63;;1;;;;;;;;;;
12;Population trends and abundance of seals - Ringed seal, pop.growth;Ringed seal;63;;1;;;;;;;;;;
13;Population trends and abundance of seals - Grey seal, abundance;Grey seal;61;;1;;;;;;;;;;
14;Population trends and abundance of seals - Grey seal, pop.growth;Grey seal;61;;1;;;;;;;;;;
15;Population trends and abundance of seals - Harbour seal, abundance;Harbour seal;62;;1;;;;;;;;;;
16;Population trends and abundance of seals - Harbour seal, pop.growth;Harbour seal;62;;1;;;;;;;;;;
17;Reproductive status of seals - Ringed seal;Ringed seal;63;;;1;;;;;;;;;
18;Reproductive status of seals - Grey seal;Grey seal;61;;;1;;;;;;;;;
19;Reproductive status of seals - Harbour seal;Harbour seal;62;;;1;;;;;;;;;
20;Nutritional status of seals - Ringed seal;Ringed seal;63;;;1;;;;;;;;;
21;Nutritional status of seals - Grey seal, hunted;Grey seal;61;;;1;;;;;;;;;
22;Nutritional status of seals - Grey seal, by-catch;Grey seal;61;;;1;;;;;;;;;
23;Nutritional status of seals - Harbour seal;Harbour seal;62;;;1;;;;;;;;;
24;Number of drowned mammals and waterbirds in fishing gear - Harbour porpoise;Harbour porpoise;60;1;;;;;;;;;;;
25;Number of drowned mammals and waterbirds in fishing gear - Ringed seal;Ringed seal;63;1;;;;;;;;;;;
26;Number of drowned mammals and waterbirds in fishing gear - Grey seal;Grey seal;61;1;;;;;;;;;;;
27;Number of drowned mammals and waterbirds in fishing gear - Harbour seal;Harbour seal;62;1;;;;;;;;;;;
28;Number of drowned mammals and waterbirds in fishing gear - Caspian tern;Caspian tern;40;1;;;;;;;;;;;
29;Number of drowned mammals and waterbirds in fishing gear - Common eider;Common eider;53;1;;;;;;;;;;;
30;Number of drowned mammals and waterbirds in fishing gear - Great cormorant;Great cormorant;45;1;;;;;;;;;;;
31;Number of drowned mammals and waterbirds in fishing gear - Sandwich tern;Sandwich tern;39;1;;;;;;;;;;;
32;Number of drowned mammals and waterbirds in fishing gear - Razorbill;Razorbill;52;1;;;;;;;;;;;
33;Number of drowned mammals and waterbirds in fishing gear - Common Guillemot;Common Guillemot;51;1;;;;;;;;;;;
34;Number of drowned mammals and waterbirds in fishing gear - Velvet Scoter;Velvet Scoter;59;1;;;;;;;;;;;
35;Number of drowned mammals and waterbirds in fishing gear - Eurasian Oystercatcher ;Eurasian Oystercatcher ;32;1;;;;;;;;;;;
