SAU;Level;SAUID;ParentID;Area_km2
Baltic Sea;1;1;;417240
Kattegat;2;2;1;23708
Great Belt;2;3;1;10760
The Sound;2;4;1;1207
Kiel Bay;2;5;1;3356
Bay of Mecklenburg;2;6;1;4619
Arkona Basin;2;7;1;17615
Bornholm Basin;2;8;1;42218
Gdansk Basin;2;9;1;5875
Eastern Gotland Basin;2;10;1;75090
Western Gotland Basin;2;11;1;27683
Gulf of Riga;2;12;1;18784
Northern Baltic Proper;2;13;1;39667
Gulf of Finland;2;14;1;29906
Åland Sea;2;15;1;16153
Bothnian Sea;2;16;1;60104
The Quark;2;17;1;8245
Bothnian Bay;2;18;1;32250
Kattegat  - open sea;3;19;2;15672
Great Belt  - open sea;3;20;3;1944
The Sound  - open sea;3;21;4;254
Kiel Bay  - open sea;3;22;5;2716
Bay of Mecklenburg  - open sea;3;23;6;3477
Arkona Basin  - open sea;3;24;7;13458
Bornholm Basin  - open sea;3;25;8;38836
Gdansk Basin  - open sea;3;26;9;3650
Eastern Gotland Basin  - open sea;3;27;10;70749
Western Gotland Basin  - open sea;3;28;11;21927
Gulf of Riga  - open sea;3;29;12;8674
Northern Baltic Proper  - open sea;3;30;13;31573
Gulf of Finland  - open sea;3;31;14;16591
Åland Sea  - open sea;3;32;15;1903
Bothnian Sea  - open sea;3;33;16;49581
The Quark  - open sea;3;34;17;2869
Bothnian Bay - open sea;3;35;18;21347
Bothnian Bay Finnish Coastal waters;3;36;18;5551
Bothnian Bay Swedish Coastal waters;3;37;18;5352
The Quark Finnish Coastal waters;3;38;17;3482
The Quark Swedish Coastal waters;3;39;17;1894
Bothnian Sea Finnish Coastal waters;3;40;16;4269
Bothnian Sea Swedish Coastal waters;3;41;16;6254
Åland Sea Finnish Coastal waters;3;42;15;1872
Åland Sea Swedish Coastal waters;3;43;15;1692
Archipelago Sea Coastal waters;3;44;13;10686
Northern Baltic Proper Finnish Coastal waters;3;45;13;1338
Northern Baltic Proper Swedish Coastal waters;3;46;13;4892
Northern Baltic Proper Estonian Coastal waters;3;47;13;1864
Gulf of Finland Finnish Coastal waters;3;48;14;5767
Gulf of Finland Estonian Coastal waters;3;49;14;3706
Gulf of Finland Russian Coastal waters;3;50;14;3842
Gulf of Riga Estonian Coastal waters;3;51;12;8366
Gulf of Riga Latvian Coastal waters;3;52;12;1744
Western Gotland Basin Swedish Coastal waters;3;53;11;5756
Eastern Gotland Basin Estonian Coastal waters;3;54;10;594
Eastern Gotland Basin Latvian Coastal waters;3;55;10;550
Eastern Gotland Basin Lithuanian Coastal waters;3;56;10;622
Eastern Gotland Basin Swedish Coastal waters;3;57;10;1095
Eastern Gotland Basin Russian Coastal waters;3;58;10;1372
Eastern Gotland Basin Polish Coastal waters;3;59;10;108
Gdansk Basin Russian Coastal waters;3;60;9;625
Gdansk Basin Polish Coastal waters;3;61;9;1600
Bornholm Basin Swedish Coastal waters;3;62;8;1614
Bornholm Basin Polish Coastal waters;3;63;8;905
Bornholm Basin Danish Coastal waters;3;64;8;233
Bornholm Basin German Coastal waters;3;65;8;630
Arkona Basin Swedish Coastal waters;3;66;7;415
Arkona Basin Danish Coastal waters;3;67;7;1741
Arkona Basin German Coastal waters;3;68;7;2001
Mecklenburg Bight German Coastal waters;3;69;6;840
Mecklenburg Bight Danish Coastal waters;3;70;6;302
Kiel Bight Danish Coastal waters;3;71;5;91
Kiel Bight German Coastal waters;3;72;5;549
Belts Danish Coastal waters;3;73;3;8816
The Sound Swedish Coastal waters;3;74;4;621
The Sound Danish Coastal waters;3;75;4;332
Kattegat Swedish Coastal waters;3;76;2;2239
Kattegat Danish Coastal waters, including Limfjorden;3;77;2;5797
DEN-001  - M1 ;4;78;77;116
DEN-002  - M2 ;4;79;;
DEN-003  - M3 ;4;80;77;116
DEN-004  - M4 ;4;81;;
