CritID;Descriptor;Criteria;DC;CriteriaName;CriteriaShortName
1;1;1;D1C1;D1C1: The mortality rate per species from incidental by-catch is below levels which threaten the species.;Incidental by-catch
2;1;2;D1C2;D1C2: The population abundance of the species is not adversely affected due to anthropogenic pressures, such that its long-term viability is ensured.;Population abundance
3;1;3;D1C3;D1C3: The population demographic characteristics (e.g. body size or age class structure, sex ratio, fecundity, and survival rates) of the species are indicative of a natural population which is not adversely affected due to anthropogenic pressures.;Population demographic characteristics
4;1;4;D1C4;D1C4: The species distributional range and, where relevant, pattern is in line with prevailing physiographic, geographic and climatic conditions.;Species distribution range
5;1;5;D1C5;D1C5: The habitat for the species  has the necessary extent and condition to support the different stages in the life history of the species.;Species habitat extent
6;1;6;D1C6;D1C6: The condition of the habitat type, including its biotic and abiotic structure and its functions (e.g. its typical species composition and their relative abundance, absence of particularly sensitive or fragile species or species providing a key function, size structure of species), is not adversely affected.;Condition of pelagic habitat type
7;2;1;D2C1;D2C1: The number of non-indigenous species which are newly introduced via human activity into the wild, per assessment period (6 years), measured from the reference year as reported for the initial assessment under Article 8(1) of Directive 2008/56/EC, is minimised and where possible eliminated. ;Number of non-indigenous species
8;2;2;D2C2;D2C2: Abundance (numbers, biomass or extent) and spatial distribution of non-indigenous species, particularly of invasive species, contributing significantly to environmental impacts on particular species groups or broad habitat types.;Abundance and spatial distribution of non-indigenous species
9;2;3;D2C3;D2C3: The proportion of the species group or the spatial extent of the broad habitat type which is adversely altered due to the number of non-indigenous species particularly invasive non-indigenous species, and/or their abundance within the natural community.;Proportion of species group or spatial extent of broad habitat type adversely altered due to non-indigenous species
10;3;1;D3C1;D3C1: The Fishing mortality rate of populations of commercially-exploited species is at or below levels which can produce the maximum sustainable yield (MSY), established in accordance with scientific advice obtained pursuant to Article 26 of Regulation (EU) No 1380/2013.;Fishing mortality rate
11;3;2;D3C2;D3C2: The Spawning Stock Biomass of populations of commercially-exploited species is above biomass levels capable of producing maximum sustainable yield, established in accordance with scientific advice obtained pursuant to Article 26 of Regulation (EU) No 1380/2013.;Spawning stock biomass
12;3;3;D3C3;D3C3: The age and size distribution of individuals in the populations of commercially-exploited species is indicative of a healthy population. This shall include a high proportion of old/large individuals and reduced adverse effects of exploitation on genetic diversity.;Age and size distribution of commercially-exploited species
13;4;1;D4C1;D4C1: The diversity (species composition and their relative abundance) of the trophic guild is not adversely affected due to anthropogenic pressures.;Diversity of the trophic guild
14;4;2;D4C2;D4C2: The balance of total guild abundance across the trophic guilds is not adversely affected due to anthropogenic pressures.;Abundance of the trophic guild
15;4;3;D4C3;D4C3: The size distribution of individuals across the trophic guild is not adversely affected due to anthropogenic pressures.;The size distribution of the trophic guild
16;4;4;D4C4;D4C4: Productivity of the trophic guild is not adversely affected due to anthropogenic pressures.;Productivity of the trophic guild
17;5;1;D5C1;D5C1: Nutrient concentrations are not at levels that indicate adverse eutrophication effects.;Nutrient concentrations
18;5;2;D5C2;D5C2: Chlorophyll a concentrations are not at levels that indicate adverse effects of nutrient enrichment.;Chlorophyll a concentration
19;5;3;D5C3;D5C3: The number, spatial extent and duration of harmful algal bloom events are not at levels that indicate adverse effects of nutrient enrichment.;Harmful algal bloom events
