SAUID;IndicatorID;'Unit';IndType;Bad;ModGood;High;ModGood2;Bad2;Obs;StdErr;ConfA;ConfT;ConfS;ConfM
1;93;'% of populations whose size is within +-30 % of the 1991 level';1;0;0.75;1;;;0.667;;i;h;i;h
1;71;'% of populations whose size is within +-30 % of the 1991 level';1;0;0.75;1;;;0.833;;i;h;h;i
14;69;'% of potential';1;0;75;100;;;15;;i;h;h;i
48;70;'% of potential';1;0;50;100;;;25;;h;i;h;h
49;70;'% of potential';1;0;50;100;;;75;;h;i;h;h
50;70;'% of potential';1;0;50;100;;;25;;h;i;i;h
48;59;'trend';1;0;0.5;1;;;0.375;;h;h;h;h
48;60;'CPUE';2;0;0.09;0.13;0.17;0.45;0.29;;i;h;h;i
48;66;'CPUE';1;0;0.082;0.2;;;0.13;;h;h;h;h
14;21;'mm';1;0;40;50;;;30;;h;h;h;h
14;22;'mm';1;0;35;50;;;25;;h;h;h;h
14;18;'%';1;0;90;100;;;95;;h;h;h;h
14;14;'%';1;0;7;10;;;7.9;;h;h;h;h
14;13;'individuals';1;0;10000;80000;;;32000;;h;h;h;h
14;12;'%';1;0;7;10;;;0;;h;h;h;h
14;11;'individuals';1;0;3300;10000;;;91;;h;h;h;h
14;5;'%';1;0;90;100;;;100;;h;h;h;h
14;6;'%';1;0;90;100;;;100;;h;h;h;h
14;7;'%';1;0;90;100;;;100;;h;h;h;h
14;2;'%';1;0;90;100;;;10;;h;h;h;h
14;3;'%';1;0;90;100;;;10;;h;h;h;h
14;4;'%';1;0;90;100;;;100;;h;h;h;h
14;130;'';1;0;0.5;1;;;0.25;;i;i;i;i
14;131;'';1;0;0.5;1;;;0.75;;i;i;i;i
12;69;'% of potential';1;0;75;100;;;5;;h;h;i;i
51;70;'% of potential';1;0;50;100;;;25;;h;i;h;h
52;70;'% of potential';1;0;50;100;;;25;;h;i;h;h
51;59;'CPUE';1;0;210;800;;;130;;i;h;i;h
52;59;'trend';1;0;0.5;1;;;0.375;;i;h;i;h
51;60;'trend';1;0;0.5;1;;;0.375;;i;h;i;h
52;60;'trend';1;0;0.5;1;;;0.625;;i;h;i;h
51;66;'CPUE';1;0;210;800;;;120;;i;h;i;h
52;66;'trend';1;0;0.5;1;;;0.625;;i;h;i;h
12;21;'mm';1;0;40;50;;;30;;h;h;h;h
12;22;'mm';1;0;35;50;;;25;;h;h;h;h
12;18;'%';1;0;90;100;;;95;;h;h;h;h
12;14;'%';1;0;7;10;;;7.9;;h;h;h;h
12;13;'individuals';1;0;10000;80000;;;32000;;h;h;h;h
12;12;'individuals';1;0;3300;10000;;;1077;;h;i;i;i
12;11;'%';1;0;7;10;;;0;;h;i;i;i
12;5;'%';1;0;90;100;;;100;;h;h;h;h
