SAU	Level	SAUID	ParentID	Area_km2	count_ind	count_conf	EQR_self	EQR	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
Baltic Sea	1	1		417240	2	2	0.6332	0.5945		0.6112	0.6143	0.7468		0.4171						0.435
Kattegat	2	2	1	23708	2	5	0.99	0.7896		0.8865		1		0.634						0.5952
Great Belt	2	3	1	10760	0	0														
The Sound	2	4	1	1207	0	0														
Kiel Bay	2	5	1	3356	0	0														
Bay of Mecklenburg	2	6	1	4619	0	0														
Arkona Basin	2	7	1	17615	0	0														
Bornholm Basin	2	8	1	42218	7	14	0.3968	0.365		0.2103	0.6143	1		0.1834						0.4687
Gdansk Basin	2	9	1	5875	0	0														
Eastern Gotland Basin	2	10	1	75090	0	0														
Western Gotland Basin	2	11	1	27683	0	0														
Gulf of Riga	2	12	1	18784	7	16	0.2473	0.4034		0.2339	0.6143	0.2533		0.5125						0.5691
Northern Baltic Proper	2	13	1	39667	0	0														
Gulf of Finland	2	14	1	29906	7	16	0.274	0.344		0.3065	0.6143	0.2533		0.3934						0.308
Åland Sea	2	15	1	16153	0	0														
Bothnian Sea	2	16	1	60104	0	0														
The Quark	2	17	1	8245	0	0														
Bothnian Bay	2	18	1	32250	0	0														
Kattegat  - open sea	3	19	2	15672	1	1	0.628	0.628						0.628						
Great Belt  - open sea	3	20	3	1944	0	0														
The Sound  - open sea	3	21	4	254	0	0														
Kiel Bay  - open sea	3	22	5	2716	0	0														
Bay of Mecklenburg  - open sea	3	23	6	3477	0	0														
Arkona Basin  - open sea	3	24	7	13458	0	0														
Bornholm Basin  - open sea	3	25	8	38836	2	2	0.3167	0.3167						0.1733						0.4601
Gdansk Basin  - open sea	3	26	9	3650	0	0														
Eastern Gotland Basin  - open sea	3	27	10	70749	0	0														
Western Gotland Basin  - open sea	3	28	11	21927	0	0														
Gulf of Riga  - open sea	3	29	12	8674	1	1	0.6588	0.6588						0.6588						
Northern Baltic Proper  - open sea	3	30	13	31573	0	0														
Gulf of Finland  - open sea	3	31	14	16591	2	2	0.3891	0.3891						0.516						0.2623
Åland Sea  - open sea	3	32	15	1903	0	0														
Bothnian Sea  - open sea	3	33	16	49581	0	0														
The Quark  - open sea	3	34	17	2869	0	0														
Bothnian Bay - open sea	3	35	18	21347	0	0														
Bothnian Bay Finnish Coastal waters	3	36	18	5551	0	0														
Bothnian Bay Swedish Coastal waters	3	37	18	5352	0	0														
The Quark Finnish Coastal waters	3	38	17	3482	0	0														
The Quark Swedish Coastal waters	3	39	17	1894	0	0														
Bothnian Sea Finnish Coastal waters	3	40	16	4269	0	0														
Bothnian Sea Swedish Coastal waters	3	41	16	6254	0	0														
Åland Sea Finnish Coastal waters	3	42	15	1872	0	0														
Åland Sea Swedish Coastal waters	3	43	15	1692	0	0														
Archipelago Sea Coastal waters	3	44	13	10686	0	0														
Northern Baltic Proper Finnish Coastal waters	3	45	13	1338	0	0														
Northern Baltic Proper Swedish Coastal waters	3	46	13	4892	0	0														
