SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Ind_count	EQR	Weight	Conf
1	1	Baltic Sea	2	2	Birds	2	0.6332	0.7845	0.75
2	2	Kattegat	62	4	Harbour seal	5	0.99	0.0223	0.9
8	2	Bornholm Basin	61	4	Grey seal	8	0.7371	0.0099	0.8125
8	2	Bornholm Basin	62	4	Harbour seal	5	0.53	0.0099	1
8	2	Bornholm Basin	69	4	Salmon	1	0.16	0.0198	0.5
12	2	Gulf of Riga	61	4	Grey seal	8	0.7371	0.0029	1
12	2	Gulf of Riga	63	4	Ringed seal	5	0.0667	0.0029	0.775
12	2	Gulf of Riga	69	4	Salmon	1	0.04	0.0059	0.75
12	2	Gulf of Riga	83	4	Zooplankton - Shelf	2	0.3	0.0059	0.5
14	2	Gulf of Finland	61	4	Grey seal	8	0.7371	0.0047	1
14	2	Gulf of Finland	63	4	Ringed seal	5	0.0667	0.0047	1
14	2	Gulf of Finland	69	4	Salmon	1	0.12	0.0094	0.75
14	2	Gulf of Finland	83	4	Zooplankton - Shelf	2	0.3	0.0094	0.5
19	3	Kattegat  - open sea	18	3	Shelf pelagic habitats	1	0.628	0.0147	0.5028
25	3	Bornholm Basin  - open sea	18	3	Shelf pelagic habitats	1	0.1733	0.0183	1
25	3	Bornholm Basin  - open sea	93	4	Macrofauna - Circalittoral mud	1	0.4601	0.0183	1
29	3	Gulf of Riga  - open sea	18	3	Shelf pelagic habitats	1	0.6588	0.0082	0.2517
31	3	Gulf of Finland  - open sea	18	3	Shelf pelagic habitats	1	0.516	0.0078	0.625
31	3	Gulf of Finland  - open sea	93	4	Macrofauna - Circalittoral mud	1	0.2623	0.0078	0.875
48	3	Gulf of Finland Finnish Coastal waters	64	4	Perch	1	0.7627	7e-04	1
48	3	Gulf of Finland Finnish Coastal waters	66	4	Sea trout	1	0.3	7e-04	0.875
48	3	Gulf of Finland Finnish Coastal waters	67	4	Cyprinids	1	0.45	7e-04	1
48	3	Gulf of Finland Finnish Coastal waters	68	4	Piscivores	1	0.3429	7e-04	0.75
49	3	Gulf of Finland Estonian Coastal waters	66	4	Sea trout	1	0.8	0.0017	0.875
50	3	Gulf of Finland Russian Coastal waters	66	4	Sea trout	1	0.3	0.0036	0.75
51	3	Gulf of Riga Estonian Coastal waters	64	4	Perch	1	0.3429	0.001	0.75
51	3	Gulf of Riga Estonian Coastal waters	66	4	Sea trout	1	0.3	0.001	0.875
51	3	Gulf of Riga Estonian Coastal waters	67	4	Cyprinids	1	0.3714	0.001	0.75
51	3	Gulf of Riga Estonian Coastal waters	68	4	Piscivores	1	0.45	0.001	0.75
52	3	Gulf of Riga Latvian Coastal waters	64	4	Perch	1	0.7	2e-04	0.75
52	3	Gulf of Riga Latvian Coastal waters	66	4	Sea trout	1	0.3	2e-04	0.875
52	3	Gulf of Riga Latvian Coastal waters	67	4	Cyprinids	1	0.45	2e-04	0.75
52	3	Gulf of Riga Latvian Coastal waters	68	4	Piscivores	1	0.7	2e-04	0.75
62	3	Bornholm Basin Swedish Coastal waters	64	4	Perch	1	0.7	2e-04	0.75
62	3	Bornholm Basin Swedish Coastal waters	66	4	Sea trout	1	0.8	2e-04	0.875
62	3	Bornholm Basin Swedish Coastal waters	67	4	Cyprinids	1	0.7	2e-04	0.75
62	3	Bornholm Basin Swedish Coastal waters	68	4	Piscivores	1	0.7	2e-04	0.75
65	3	Bornholm Basin German Coastal waters	64	4	Perch	1	0.7	0	0.75
65	3	Bornholm Basin German Coastal waters	66	4	Sea trout	1	0.3	0	0.875
65	3	Bornholm Basin German Coastal waters	67	4	Cyprinids	1	0.7	0	0.75
65	3	Bornholm Basin German Coastal waters	75	4	Flounder	1	0.45	1e-04	0.75
76	3	Kattegat Swedish Coastal waters	66	4	Sea trout	1	0.8	0.0011	0.875
77	3	Kattegat Danish Coastal waters, including Limfjorden	66	4	Sea trout	1	0.8	7e-04	0.875
77	3	Kattegat Danish Coastal waters, including Limfjorden	67	4	Cyprinids	1	0.45	7e-04	0.75
77	3	Kattegat Danish Coastal waters, including Limfjorden	75	4	Flounder	1	0.45	0.0014	0.75
78	4	DEN-001  - M1 	80	4	Phytoplankton - Coast	1	0	0	0.625
78	4	DEN-001  - M1 	93	4	Macrofauna - Circalittoral mud	1	0.5735	0	0.625
80	4	DEN-003  - M3 	80	4	Phytoplankton - Coast	0		0	0.625
80	4	DEN-003  - M3 	93	4	Macrofauna - Circalittoral mud	1	0.5912	0	0.625
82	4	DEN-005  - O3 	80	4	Phytoplankton - Coast	0		0	0.625
82	4	DEN-005  - O3 	93	4	Macrofauna - Circalittoral mud	1	0.5647	0	0.625
83	4	DEN-006  - O4 	80	4	Phytoplankton - Coast	0		0	0.625
84	4	DEN-007  - OW2 	80	4	Phytoplankton - Coast	0		8e-04	0.625
84	4	DEN-007  - OW2 	93	4	Macrofauna - Circalittoral mud	1	0.6625	8e-04	0.625
86	4	DEN-009  - OW3b 	80	4	Phytoplankton - Coast	0		1e-04	0.625
86	4	DEN-009  - OW3b 	93	4	Macrofauna - Circalittoral mud	1	0.725	1e-04	0.75
87	4	DEN-010  - P1 	80	4	Phytoplankton - Coast	0		0	0.625
87	4	DEN-010  - P1 	93	4	Macrofauna - Circalittoral mud	1	0.3882	0	0.625
89	4	DEN-012  - P3 	80	4	Phytoplankton - Coast	0		1e-04	0.625
89	4	DEN-012  - P3 	93	4	Macrofauna - Circalittoral mud	1	0.5382	1e-04	0.75
90	4	DEN-013  - P4 	80	4	Phytoplankton - Coast	0		3e-04	0.625
90	4	DEN-013  - P4 	93	4	Macrofauna - Circalittoral mud	1	0.4324	3e-04	0.75
91	4	DEN-014  - Slusefjord 	93	4	Macrofauna - Circalittoral mud	1	0.6375	1e-04	0.75
95	4	EST-004  - Pärnu lahe rannikuvesi 	80	4	Phytoplankton - Coast	2	0.5924	1e-04	0.6875
95	4	EST-004  - Pärnu lahe rannikuvesi 	93	4	Macrofauna - Circalittoral mud	1	0.64	1e-04	0.625
95	4	EST-004  - Pärnu lahe rannikuvesi 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.4412	1e-04	0.6667
99	4	EST-008  - Liivi lahe rannikuvesi 	80	4	Phytoplankton - Coast	2	0.5609	0.0018	0.6875
99	4	EST-008  - Liivi lahe rannikuvesi 	93	4	Macrofauna - Circalittoral mud	1	0.638	9e-04	0.625
99	4	EST-008  - Liivi lahe rannikuvesi 	95	4	Macrophytes - Infralittoral coarse sediment	4	0.505	9e-04	0.7188
100	4	FIN-001  - Lounainen sisäsaaristo 	80	4	Phytoplankton - Coast	2	0.1316	2e-04	0.75
100	4	FIN-001  - Lounainen sisäsaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.4744	1e-04	0.75
100	4	FIN-001  - Lounainen sisäsaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.0695	1e-04	0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	80	4	Phytoplankton - Coast	2	0.3116	3e-04	0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.5265	2e-04	0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.2095	2e-04	0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	80	4	Phytoplankton - Coast	2	0.2078	3e-04	0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.4552	2e-04	0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.303	2e-04	0.75
103	4	FIN-004  - Suomenlahden ulkosaaristo 	80	4	Phytoplankton - Coast	2	0.2112	6e-04	0.75
