SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	EQR	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
1	1	Baltic Sea	1	1	Biodiversity	0.5945		0.6112	0.6143	0.7468		0.4071						0.435
1	1	Baltic Sea	2	2	Birds	0.6332		0.6332										
1	1	Baltic Sea	3	2	Mammals	0.7104		0.7016	0.6143	0.7468								
1	1	Baltic Sea	4	2	Fish	0.2497		0.2497										
1	1	Baltic Sea	5	2	Pelagic habitat	0.4071						0.4071						
1	1	Baltic Sea	6	2	Benthic habitat	0.435												0.435
1	1	Baltic Sea	13	3	Seals	0.7104		0.7016	0.6143	0.7468								
1	1	Baltic Sea	14	3	Coastal fish	0.4923		0.4923										
1	1	Baltic Sea	15	3	Pelagic shelf fish	0.1292		0.1292										
1	1	Baltic Sea	16	3	Demersal shelf fish	0.45		0.45										
1	1	Baltic Sea	17	3	Coastal pelagic habitats	0.3734						0.3734						
1	1	Baltic Sea	18	3	Shelf pelagic habitats	0.4111						0.4111						
1	1	Baltic Sea	20	3	Infralittoral coarse sediment	0.4877												0.4877
1	1	Baltic Sea	28	3	Circalittoral mud	0.4297												0.4297
2	2	Kattegat	1	1	Biodiversity	0.7896		0.8865		1		0.5837						0.5952
2	2	Kattegat	3	2	Mammals	0.99		0.98		1								
2	2	Kattegat	4	2	Fish	0.6106		0.6106										
2	2	Kattegat	5	2	Pelagic habitat	0.5837						0.5837						
2	2	Kattegat	6	2	Benthic habitat	0.5952												0.5952
2	2	Kattegat	13	3	Seals	0.99		0.98		1								
2	2	Kattegat	14	3	Coastal fish	0.7013		0.7013										
2	2	Kattegat	16	3	Demersal shelf fish	0.45		0.45										
2	2	Kattegat	17	3	Coastal pelagic habitats	0.2347						0.2347						
2	2	Kattegat	18	3	Shelf pelagic habitats	0.628						0.628						
2	2	Kattegat	20	3	Infralittoral coarse sediment	0.6838												0.6838
2	2	Kattegat	28	3	Circalittoral mud	0.581												0.581
8	2	Bornholm Basin	1	1	Biodiversity	0.365		0.2103	0.6143	1		0.1797						0.4687
8	2	Bornholm Basin	3	2	Mammals	0.6336		0.28	0.6143	1								
