SAU	Level	SAUID	ParentID	Area_km2	count_ind	count_conf	Conf_self	Conf	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
Baltic Sea	1	1		417240	2	2	0.75	0.7525		0.7482	0.7173	0.9928		0.633						0.9043
Kattegat	2	2	1	23708	2	5	0.9	0.7396		0.7671		1		0.5072						0.6726
Great Belt	2	3	1	10760	0	0														
The Sound	2	4	1	1207	0	0														
Kiel Bay	2	5	1	3356	0	0														
Bay of Mecklenburg	2	6	1	4619	0	0														
Arkona Basin	2	7	1	17615	0	0														
Bornholm Basin	2	8	1	42218	7	14	0.7031	0.8409		0.6286	0.5	1		0.9889						0.986
Gdansk Basin	2	9	1	5875	0	0														
Eastern Gotland Basin	2	10	1	75090	0	0														
Western Gotland Basin	2	11	1	27683	0	0														
Gulf of Riga	2	12	1	18784	7	16	0.7125	0.6108		0.7648	1	0.9231		0.4034						0.668
Northern Baltic Proper	2	13	1	39667	0	0														
Gulf of Finland	2	14	1	29906	7	16	0.75	0.7612		0.8185	1	1		0.579						0.8463
Åland Sea	2	15	1	16153	0	0														
Bothnian Sea	2	16	1	60104	0	0														
The Quark	2	17	1	8245	0	0														
Bothnian Bay	2	18	1	32250	0	0														
Kattegat  - open sea	3	19	2	15672	1	1	0.5028	0.5028						0.5028						
Great Belt  - open sea	3	20	3	1944	0	0														
The Sound  - open sea	3	21	4	254	0	0														
Kiel Bay  - open sea	3	22	5	2716	0	0														
Bay of Mecklenburg  - open sea	3	23	6	3477	0	0														
Arkona Basin  - open sea	3	24	7	13458	0	0														
Bornholm Basin  - open sea	3	25	8	38836	2	2	1	1						1						1
Gdansk Basin  - open sea	3	26	9	3650	0	0														
Eastern Gotland Basin  - open sea	3	27	10	70749	0	0														
Western Gotland Basin  - open sea	3	28	11	21927	0	0														
Gulf of Riga  - open sea	3	29	12	8674	1	1	0.2517	0.2517						0.2517						
Northern Baltic Proper  - open sea	3	30	13	31573	0	0														
