SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Ind_count	Conf	Weight
1	1	Baltic Sea	2	2	Birds	2	0.75	0.7845
2	2	Kattegat	62	4	Harbour seal	5	0.9	0.0223
8	2	Bornholm Basin	61	4	Grey seal	8	0.8125	0.0099
8	2	Bornholm Basin	62	4	Harbour seal	5	1	0.0099
8	2	Bornholm Basin	69	4	Salmon	1	0.5	0.0198
12	2	Gulf of Riga	61	4	Grey seal	8	1	0.0029
12	2	Gulf of Riga	63	4	Ringed seal	5	0.775	0.0029
12	2	Gulf of Riga	69	4	Salmon	1	0.75	0.0059
12	2	Gulf of Riga	83	4	Zooplankton - Shelf	2	0.5	0.0059
14	2	Gulf of Finland	61	4	Grey seal	8	1	0.0047
14	2	Gulf of Finland	63	4	Ringed seal	5	1	0.0047
14	2	Gulf of Finland	69	4	Salmon	1	0.75	0.0094
14	2	Gulf of Finland	83	4	Zooplankton - Shelf	2	0.5	0.0094
19	3	Kattegat  - open sea	18	3	Shelf pelagic habitats	1	0.5028	0.0147
25	3	Bornholm Basin  - open sea	18	3	Shelf pelagic habitats	1	1	0.0183
25	3	Bornholm Basin  - open sea	93	4	Macrofauna - Circalittoral mud	1	1	0.0183
29	3	Gulf of Riga  - open sea	18	3	Shelf pelagic habitats	1	0.2517	0.0082
31	3	Gulf of Finland  - open sea	18	3	Shelf pelagic habitats	1	0.625	0.0078
31	3	Gulf of Finland  - open sea	93	4	Macrofauna - Circalittoral mud	1	0.875	0.0078
48	3	Gulf of Finland Finnish Coastal waters	64	4	Perch	1	1	7e-04
48	3	Gulf of Finland Finnish Coastal waters	66	4	Sea trout	1	0.875	7e-04
48	3	Gulf of Finland Finnish Coastal waters	67	4	Cyprinids	1	1	7e-04
48	3	Gulf of Finland Finnish Coastal waters	68	4	Piscivores	1	0.75	7e-04
49	3	Gulf of Finland Estonian Coastal waters	66	4	Sea trout	1	0.875	0.0017
50	3	Gulf of Finland Russian Coastal waters	66	4	Sea trout	1	0.75	0.0036
51	3	Gulf of Riga Estonian Coastal waters	64	4	Perch	1	0.75	0.001
51	3	Gulf of Riga Estonian Coastal waters	66	4	Sea trout	1	0.875	0.001
51	3	Gulf of Riga Estonian Coastal waters	67	4	Cyprinids	1	0.75	0.001
51	3	Gulf of Riga Estonian Coastal waters	68	4	Piscivores	1	0.75	0.001
52	3	Gulf of Riga Latvian Coastal waters	64	4	Perch	1	0.75	2e-04
52	3	Gulf of Riga Latvian Coastal waters	66	4	Sea trout	1	0.875	2e-04
52	3	Gulf of Riga Latvian Coastal waters	67	4	Cyprinids	1	0.75	2e-04
