SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Conf	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
1	1	Baltic Sea	1	1	Biodiversity	0.7525		0.7482	0.7173	0.9928		0.6331						0.9043
1	1	Baltic Sea	2	2	Birds	0.75		0.75										
1	1	Baltic Sea	3	2	Mammals	0.9172		0.8686	0.7173	0.9928								
1	1	Baltic Sea	4	2	Fish	0.6757		0.6757										
1	1	Baltic Sea	5	2	Pelagic habitat	0.6331						0.6331						
1	1	Baltic Sea	6	2	Benthic habitat	0.9043												0.9043
1	1	Baltic Sea	13	3	Seals	0.9172		0.8686	0.7173	0.9928								
1	1	Baltic Sea	14	3	Coastal fish	0.8141		0.8141										
1	1	Baltic Sea	15	3	Pelagic shelf fish	0.6087		0.6087										
1	1	Baltic Sea	16	3	Demersal shelf fish	0.75		0.75										
1	1	Baltic Sea	17	3	Coastal pelagic habitats	0.6895						0.6895						
1	1	Baltic Sea	18	3	Shelf pelagic habitats	0.6265						0.6265						
1	1	Baltic Sea	20	3	Infralittoral coarse sediment	0.7281												0.7281
1	1	Baltic Sea	28	3	Circalittoral mud	0.9219												0.9219
2	2	Kattegat	1	1	Biodiversity	0.7396		0.7671		1		0.5166						0.6726
2	2	Kattegat	3	2	Mammals	0.9		0.75		1								
2	2	Kattegat	4	2	Fish	0.8074		0.8074										
2	2	Kattegat	5	2	Pelagic habitat	0.5166						0.5166						
2	2	Kattegat	6	2	Benthic habitat	0.6726												0.6726
2	2	Kattegat	13	3	Seals	0.9		0.75		1								
2	2	Kattegat	14	3	Coastal fish	0.8397		0.8397										
2	2	Kattegat	16	3	Demersal shelf fish	0.75		0.75										
2	2	Kattegat	17	3	Coastal pelagic habitats	0.625						0.625						
2	2	Kattegat	18	3	Shelf pelagic habitats	0.5028						0.5028						
2	2	Kattegat	20	3	Infralittoral coarse sediment	0.75												0.75
2	2	Kattegat	28	3	Circalittoral mud	0.6602												0.6602
8	2	Bornholm Basin	1	1	Biodiversity	0.8409		0.6286	0.5	1		0.9824						0.986
8	2	Bornholm Basin	3	2	Mammals	0.9063		1	0.5	1								
8	2	Bornholm Basin	4	2	Fish	0.514		0.514										
8	2	Bornholm Basin	5	2	Pelagic habitat	0.9824						0.9824						
8	2	Bornholm Basin	6	2	Benthic habitat	0.986												0.986
8	2	Bornholm Basin	13	3	Seals	0.9063		1	0.5	1								
8	2	Bornholm Basin	14	3	Coastal fish	0.783		0.783										
8	2	Bornholm Basin	15	3	Pelagic shelf fish	0.5		0.5										
8	2	Bornholm Basin	16	3	Demersal shelf fish	0.75		0.75										
8	2	Bornholm Basin	17	3	Coastal pelagic habitats	0.6805						0.6805						
8	2	Bornholm Basin	18	3	Shelf pelagic habitats	1						1						
8	2	Bornholm Basin	20	3	Infralittoral coarse sediment	0.75												0.75
8	2	Bornholm Basin	28	3	Circalittoral mud	0.9921												0.9921
12	2	Gulf of Riga	1	1	Biodiversity	0.6108		0.7648	1	0.9231		0.4034						0.668
12	2	Gulf of Riga	3	2	Mammals	0.8875		0.7692	1	0.9231								
12	2	Gulf of Riga	4	2	Fish	0.764		0.764										
12	2	Gulf of Riga	5	2	Pelagic habitat	0.4034						0.4034						
12	2	Gulf of Riga	6	2	Benthic habitat	0.668												0.668
12	2	Gulf of Riga	13	3	Seals	0.8875		0.7692	1	0.9231								
12	2	Gulf of Riga	14	3	Coastal fish	0.7813		0.7813										
12	2	Gulf of Riga	15	3	Pelagic shelf fish	0.75		0.75										
12	2	Gulf of Riga	17	3	Coastal pelagic habitats	0.6875						0.6875						
12	2	Gulf of Riga	18	3	Shelf pelagic habitats	0.3558						0.3558						
12	2	Gulf of Riga	20	3	Infralittoral coarse sediment	0.7016												0.7016
12	2	Gulf of Riga	28	3	Circalittoral mud	0.6329												0.6329
14	2	Gulf of Finland	1	1	Biodiversity	0.7612		0.8185	1	1		0.579						0.8463
14	2	Gulf of Finland	3	2	Mammals	1		1	1	1								
14	2	Gulf of Finland	4	2	Fish	0.7868		0.7868										
14	2	Gulf of Finland	5	2	Pelagic habitat	0.579						0.579						
14	2	Gulf of Finland	6	2	Benthic habitat	0.8463												0.8463
14	2	Gulf of Finland	13	3	Seals	1		1	1	1								
14	2	Gulf of Finland	14	3	Coastal fish	0.8295		0.8295										
14	2	Gulf of Finland	15	3	Pelagic shelf fish	0.75		0.75										
14	2	Gulf of Finland	17	3	Coastal pelagic habitats	0.75						0.75						
14	2	Gulf of Finland	18	3	Shelf pelagic habitats	0.5568						0.5568						
14	2	Gulf of Finland	20	3	Infralittoral coarse sediment	0.7419												0.7419
14	2	Gulf of Finland	28	3	Circalittoral mud	0.8594												0.8594
19	3	Kattegat  - open sea	1	1	Biodiversity	0.5028						0.5028						
19	3	Kattegat  - open sea	5	2	Pelagic habitat	0.5028						0.5028						
19	3	Kattegat  - open sea	18	3	Shelf pelagic habitats	0.5028						0.5028						
25	3	Bornholm Basin  - open sea	1	1	Biodiversity	1						1						1
25	3	Bornholm Basin  - open sea	5	2	Pelagic habitat	1						1						
25	3	Bornholm Basin  - open sea	6	2	Benthic habitat	1												1
25	3	Bornholm Basin  - open sea	18	3	Shelf pelagic habitats	1						1						
25	3	Bornholm Basin  - open sea	28	3	Circalittoral mud	1												1
29	3	Gulf of Riga  - open sea	1	1	Biodiversity	0.2517						0.2517						
29	3	Gulf of Riga  - open sea	5	2	Pelagic habitat	0.2517						0.2517						
29	3	Gulf of Riga  - open sea	18	3	Shelf pelagic habitats	0.2517						0.2517						
31	3	Gulf of Finland  - open sea	1	1	Biodiversity	0.75						0.625						0.875
31	3	Gulf of Finland  - open sea	5	2	Pelagic habitat	0.625						0.625						
31	3	Gulf of Finland  - open sea	6	2	Benthic habitat	0.875												0.875
31	3	Gulf of Finland  - open sea	18	3	Shelf pelagic habitats	0.625						0.625						
31	3	Gulf of Finland  - open sea	28	3	Circalittoral mud	0.875												0.875
48	3	Gulf of Finland Finnish Coastal waters	1	1	Biodiversity	0.8281		0.9063				0.75						0.75
48	3	Gulf of Finland Finnish Coastal waters	4	2	Fish	0.9063		0.9063										
48	3	Gulf of Finland Finnish Coastal waters	5	2	Pelagic habitat	0.75						0.75						
48	3	Gulf of Finland Finnish Coastal waters	6	2	Benthic habitat	0.75												0.75
48	3	Gulf of Finland Finnish Coastal waters	14	3	Coastal fish	0.9063		0.9063										
48	3	Gulf of Finland Finnish Coastal waters	17	3	Coastal pelagic habitats	0.75						0.75						
48	3	Gulf of Finland Finnish Coastal waters	20	3	Infralittoral coarse sediment	0.75												0.75
48	3	Gulf of Finland Finnish Coastal waters	28	3	Circalittoral mud	0.75												0.75
49	3	Gulf of Finland Estonian Coastal waters	1	1	Biodiversity	0.8099		0.875				0.75						0.7396
49	3	Gulf of Finland Estonian Coastal waters	4	2	Fish	0.875		0.875										
49	3	Gulf of Finland Estonian Coastal waters	5	2	Pelagic habitat	0.75						0.75						
49	3	Gulf of Finland Estonian Coastal waters	6	2	Benthic habitat	0.7396												0.7396
49	3	Gulf of Finland Estonian Coastal waters	14	3	Coastal fish	0.875		0.875										
49	3	Gulf of Finland Estonian Coastal waters	17	3	Coastal pelagic habitats	0.75						0.75						
49	3	Gulf of Finland Estonian Coastal waters	20	3	Infralittoral coarse sediment	0.7292												0.7292
49	3	Gulf of Finland Estonian Coastal waters	28	3	Circalittoral mud	0.75												0.75
50	3	Gulf of Finland Russian Coastal waters	1	1	Biodiversity	0.75		0.75										
50	3	Gulf of Finland Russian Coastal waters	4	2	Fish	0.75		0.75										
50	3	Gulf of Finland Russian Coastal waters	14	3	Coastal fish	0.75		0.75										
51	3	Gulf of Riga Estonian Coastal waters	1	1	Biodiversity	0.7301		0.7813				0.6875						0.6702
51	3	Gulf of Riga Estonian Coastal waters	4	2	Fish	0.7813		0.7813										
51	3	Gulf of Riga Estonian Coastal waters	5	2	Pelagic habitat	0.6875						0.6875						
51	3	Gulf of Riga Estonian Coastal waters	6	2	Benthic habitat	0.6702												0.6702
51	3	Gulf of Riga Estonian Coastal waters	14	3	Coastal fish	0.7813		0.7813										
51	3	Gulf of Riga Estonian Coastal waters	17	3	Coastal pelagic habitats	0.6875						0.6875						
51	3	Gulf of Riga Estonian Coastal waters	20	3	Infralittoral coarse sediment	0.7155												0.7155
51	3	Gulf of Riga Estonian Coastal waters	28	3	Circalittoral mud	0.625												0.625
52	3	Gulf of Riga Latvian Coastal waters	1	1	Biodiversity	0.7298		0.7813				0.6875						0.6562
52	3	Gulf of Riga Latvian Coastal waters	4	2	Fish	0.7813		0.7813										
52	3	Gulf of Riga Latvian Coastal waters	5	2	Pelagic habitat	0.6875						0.6875						
52	3	Gulf of Riga Latvian Coastal waters	6	2	Benthic habitat	0.6562												0.6562
52	3	Gulf of Riga Latvian Coastal waters	14	3	Coastal fish	0.7813		0.7813										
52	3	Gulf of Riga Latvian Coastal waters	17	3	Coastal pelagic habitats	0.6875						0.6875						
52	3	Gulf of Riga Latvian Coastal waters	20	3	Infralittoral coarse sediment	0.6389												0.6389
52	3	Gulf of Riga Latvian Coastal waters	28	3	Circalittoral mud	0.6786												0.6786
62	3	Bornholm Basin Swedish Coastal waters	1	1	Biodiversity	0.7563		0.7813				0.725						0.7375
62	3	Bornholm Basin Swedish Coastal waters	4	2	Fish	0.7813		0.7813										
62	3	Bornholm Basin Swedish Coastal waters	5	2	Pelagic habitat	0.725						0.725						
62	3	Bornholm Basin Swedish Coastal waters	6	2	Benthic habitat	0.7375												0.7375
62	3	Bornholm Basin Swedish Coastal waters	14	3	Coastal fish	0.7813		0.7813										
62	3	Bornholm Basin Swedish Coastal waters	17	3	Coastal pelagic habitats	0.725						0.725						
62	3	Bornholm Basin Swedish Coastal waters	20	3	Infralittoral coarse sediment	0.75												0.75
62	3	Bornholm Basin Swedish Coastal waters	28	3	Circalittoral mud	0.725												0.725
63	3	Bornholm Basin Polish Coastal waters	1	1	Biodiversity	0.7073						0.6646						0.75
63	3	Bornholm Basin Polish Coastal waters	5	2	Pelagic habitat	0.6646						0.6646						
63	3	Bornholm Basin Polish Coastal waters	6	2	Benthic habitat	0.75												0.75
63	3	Bornholm Basin Polish Coastal waters	17	3	Coastal pelagic habitats	0.6646						0.6646						
63	3	Bornholm Basin Polish Coastal waters	20	3	Infralittoral coarse sediment	0.75												0.75
63	3	Bornholm Basin Polish Coastal waters	28	3	Circalittoral mud	0.75												0.75
64	3	Bornholm Basin Danish Coastal waters	1	1	Biodiversity	0.6875						0.625						0.75
64	3	Bornholm Basin Danish Coastal waters	5	2	Pelagic habitat	0.625						0.625						
64	3	Bornholm Basin Danish Coastal waters	6	2	Benthic habitat	0.75												0.75
64	3	Bornholm Basin Danish Coastal waters	17	3	Coastal pelagic habitats	0.625						0.625						
64	3	Bornholm Basin Danish Coastal waters	28	3	Circalittoral mud	0.75												0.75
65	3	Bornholm Basin German Coastal waters	1	1	Biodiversity	0.7362		0.7708				0.653						0.75
65	3	Bornholm Basin German Coastal waters	4	2	Fish	0.7708		0.7708										
65	3	Bornholm Basin German Coastal waters	5	2	Pelagic habitat	0.653						0.653						
65	3	Bornholm Basin German Coastal waters	6	2	Benthic habitat	0.75												0.75
65	3	Bornholm Basin German Coastal waters	14	3	Coastal fish	0.7917		0.7917										
65	3	Bornholm Basin German Coastal waters	16	3	Demersal shelf fish	0.75		0.75										
65	3	Bornholm Basin German Coastal waters	17	3	Coastal pelagic habitats	0.653						0.653						
65	3	Bornholm Basin German Coastal waters	20	3	Infralittoral coarse sediment	0.75												0.75
65	3	Bornholm Basin German Coastal waters	28	3	Circalittoral mud	0.75												0.75
76	3	Kattegat Swedish Coastal waters	1	1	Biodiversity	0.7656		0.875				0.625						0.6875
76	3	Kattegat Swedish Coastal waters	4	2	Fish	0.875		0.875										
76	3	Kattegat Swedish Coastal waters	5	2	Pelagic habitat	0.625						0.625						
