SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Total	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
1	1	Baltic Sea	1	1	Biodiversity	253		45	9	21		56						122
1	1	Baltic Sea	2	2	Birds	2		2										
1	1	Baltic Sea	3	2	Mammals	44		14	9	21								
1	1	Baltic Sea	4	2	Fish	29		29										
1	1	Baltic Sea	5	2	Pelagic habitat	56						56						
1	1	Baltic Sea	6	2	Benthic habitat	122												122
1	1	Baltic Sea	13	3	Seals	44		14	9	21								
1	1	Baltic Sea	14	3	Coastal fish	24		24										
1	1	Baltic Sea	15	3	Pelagic shelf fish	3		3										
1	1	Baltic Sea	16	3	Demersal shelf fish	2		2										
1	1	Baltic Sea	17	3	Coastal pelagic habitats	48						48						
1	1	Baltic Sea	18	3	Shelf pelagic habitats	8						8						
1	1	Baltic Sea	20	3	Infralittoral coarse sediment	76												76
1	1	Baltic Sea	28	3	Circalittoral mud	46												46
2	2	Kattegat	1	1	Biodiversity	36		6		3		8						19
2	2	Kattegat	3	2	Mammals	5		2		3								
2	2	Kattegat	4	2	Fish	4		4										
2	2	Kattegat	5	2	Pelagic habitat	8						8						
2	2	Kattegat	6	2	Benthic habitat	19												19
2	2	Kattegat	13	3	Seals	5		2		3								
2	2	Kattegat	14	3	Coastal fish	3		3										
2	2	Kattegat	16	3	Demersal shelf fish	1		1										
2	2	Kattegat	17	3	Coastal pelagic habitats	7						7						
2	2	Kattegat	18	3	Shelf pelagic habitats	1						1						
2	2	Kattegat	20	3	Infralittoral coarse sediment	7												7
2	2	Kattegat	28	3	Circalittoral mud	12												12
8	2	Bornholm Basin	1	1	Biodiversity	74		13	3	6		11						41
8	2	Bornholm Basin	3	2	Mammals	13		4	3	6								
8	2	Bornholm Basin	4	2	Fish	9		9										
8	2	Bornholm Basin	5	2	Pelagic habitat	11						11						
8	2	Bornholm Basin	6	2	Benthic habitat	41												41
8	2	Bornholm Basin	13	3	Seals	13		4	3	6								
8	2	Bornholm Basin	14	3	Coastal fish	7		7										
8	2	Bornholm Basin	15	3	Pelagic shelf fish	1		1										
8	2	Bornholm Basin	16	3	Demersal shelf fish	1		1										
8	2	Bornholm Basin	17	3	Coastal pelagic habitats	10						10						
8	2	Bornholm Basin	18	3	Shelf pelagic habitats	1						1						
8	2	Bornholm Basin	20	3	Infralittoral coarse sediment	23												23
8	2	Bornholm Basin	28	3	Circalittoral mud	18												18
12	2	Gulf of Riga	1	1	Biodiversity	54		13	3	6		15						17
12	2	Gulf of Riga	3	2	Mammals	13		4	3	6								
12	2	Gulf of Riga	4	2	Fish	9		9										
12	2	Gulf of Riga	5	2	Pelagic habitat	15						15						
12	2	Gulf of Riga	6	2	Benthic habitat	17												17
12	2	Gulf of Riga	13	3	Seals	13		4	3	6								
12	2	Gulf of Riga	14	3	Coastal fish	8		8										
12	2	Gulf of Riga	15	3	Pelagic shelf fish	1		1										
12	2	Gulf of Riga	17	3	Coastal pelagic habitats	12						12						
12	2	Gulf of Riga	18	3	Shelf pelagic habitats	3						3						
12	2	Gulf of Riga	20	3	Infralittoral coarse sediment	12												12
12	2	Gulf of Riga	28	3	Circalittoral mud	5												5
14	2	Gulf of Finland	1	1	Biodiversity	87		11	3	6		22						45
14	2	Gulf of Finland	3	2	Mammals	13		4	3	6								
14	2	Gulf of Finland	4	2	Fish	7		7										
14	2	Gulf of Finland	5	2	Pelagic habitat	22						22						
14	2	Gulf of Finland	6	2	Benthic habitat	45												45
14	2	Gulf of Finland	13	3	Seals	13		4	3	6								
14	2	Gulf of Finland	14	3	Coastal fish	6		6										
14	2	Gulf of Finland	15	3	Pelagic shelf fish	1		1										
14	2	Gulf of Finland	17	3	Coastal pelagic habitats	19						19						
14	2	Gulf of Finland	18	3	Shelf pelagic habitats	3						3						
14	2	Gulf of Finland	20	3	Infralittoral coarse sediment	34												34
14	2	Gulf of Finland	28	3	Circalittoral mud	11												11
19	3	Kattegat  - open sea	1	1	Biodiversity	1						1						
19	3	Kattegat  - open sea	5	2	Pelagic habitat	1						1						
19	3	Kattegat  - open sea	18	3	Shelf pelagic habitats	1						1						
25	3	Bornholm Basin  - open sea	1	1	Biodiversity	2						1						1
25	3	Bornholm Basin  - open sea	5	2	Pelagic habitat	1						1						
25	3	Bornholm Basin  - open sea	6	2	Benthic habitat	1												1
25	3	Bornholm Basin  - open sea	18	3	Shelf pelagic habitats	1						1						
25	3	Bornholm Basin  - open sea	28	3	Circalittoral mud	1												1
29	3	Gulf of Riga  - open sea	1	1	Biodiversity	1						1						
29	3	Gulf of Riga  - open sea	5	2	Pelagic habitat	1						1						
29	3	Gulf of Riga  - open sea	18	3	Shelf pelagic habitats	1						1						
31	3	Gulf of Finland  - open sea	1	1	Biodiversity	2						1						1
31	3	Gulf of Finland  - open sea	5	2	Pelagic habitat	1						1						
31	3	Gulf of Finland  - open sea	6	2	Benthic habitat	1												1
31	3	Gulf of Finland  - open sea	18	3	Shelf pelagic habitats	1						1						
31	3	Gulf of Finland  - open sea	28	3	Circalittoral mud	1												1
48	3	Gulf of Finland Finnish Coastal waters	1	1	Biodiversity	28		4				8						16
48	3	Gulf of Finland Finnish Coastal waters	4	2	Fish	4		4										
48	3	Gulf of Finland Finnish Coastal waters	5	2	Pelagic habitat	8						8						
48	3	Gulf of Finland Finnish Coastal waters	6	2	Benthic habitat	16												16
48	3	Gulf of Finland Finnish Coastal waters	14	3	Coastal fish	4		4										
48	3	Gulf of Finland Finnish Coastal waters	17	3	Coastal pelagic habitats	8						8						
48	3	Gulf of Finland Finnish Coastal waters	20	3	Infralittoral coarse sediment	12												12
48	3	Gulf of Finland Finnish Coastal waters	28	3	Circalittoral mud	4												4
49	3	Gulf of Finland Estonian Coastal waters	1	1	Biodiversity	40		1				11						28
