SAUID	IndicatorID	Unit	IndType	Bad	ModGood	High	ModGood2	Bad2	Obs	StdErr	ConfA	ConfT	ConfS	ConfM	BP	PM	GH	PM2	BP2	GH2	Err	OK	Sign	EQR	pGES	Conf	OOAO	ECID	EC	Weight	WeightConf
1	93	% of populations whose size is within +-30 % of the 1991 level	1	0	0.75	1			0.667		i	h	i	h	0.25	0.5	0.875					1	1	0.5336		0.75	1	2	Birds	0.392249029812581	0.392249029812581
1	71	% of populations whose size is within +-30 % of the 1991 level	1	0	0.75	1			0.833		i	h	h	i	0.25	0.5	0.875					1	1	0.7328		0.75	1	2	Birds	0.392249029812581	0.392249029812581
14	69	% of potential	1	0	75	100			15		i	h	h	i	25	50	87.5					1	1	0.12		0.75	1	69	Salmon	0.00937158428847909	0.00937158428847909
48	70	% of potential	1	0	50	100			25		h	i	h	h	16.6666666666667	33.3333333333333	75					1	1	0.3		0.875	1	66	Sea trout	0.000677697534671038	0.000677697534671038
49	70	% of potential	1	0	50	100			75		h	i	h	h	16.6666666666667	33.3333333333333	75					1	1	0.8		0.875	1	66	Sea trout	0.00174201287566559	0.00174201287566559
50	70	% of potential	1	0	50	100			25		h	i	i	h	16.6666666666667	33.3333333333333	75					1	1	0.3		0.75	1	66	Sea trout	0.00361187990734334	0.00361187990734334
48	59	trend	1	0	0.5	1			0.375		h	h	h	h	0.166666666666667	0.333333333333333	0.75					1	1	0.45		1	1	67	Piscivores	0.000677697534671038	0.000677697534671038
48	60	CPUE	2	0	0.09	0.13	0.17	0.45	0.29		i	h	h	i	0.03	0.06	0.11	0.263333333333333	0.356666666666667	0.15		1	1	0.342857142857143		0.75	1	68	Cyprinids	0.000677697534671038	0.000677697534671038
48	66	CPUE	1	0	0.082	0.2			0.13		h	h	h	h	0.0273333333333333	0.0546666666666667	0.141					1	1	0.76271186440678		1	1	64	Perch	0.000677697534671038	0.000677697534671038
14	21	mm	1	0	40	50			30		h	h	h	h	13.3333333333333	26.6666666666667	45					1	1	0.45		1		61	Grey seal	0	0.000585724018029943
14	22	mm	1	0	35	50			25		h	h	h	h	11.6666666666667	23.3333333333333	42.5					1	1	0.428571428571429		1	1	61	Grey seal	0.00117144803605989	0.000585724018029943
14	18	%	1	0	90	100			95		h	h	h	h	30	60	95					1	1	0.8		1	1	61	Grey seal	0.00117144803605989	0.000585724018029943
14	14	%	1	0	7	10			7.9		h	h	h	h	2.33333333333333	4.66666666666667	8.5					1	1	0.72		1	1	61	Grey seal	0.00117144803605989	0.000585724018029943
14	13	individuals	1	0	10000	80000			32000		h	h	h	h	3333.33333333333	6666.66666666667	45000					1	1	0.725714285714286		1		61	Grey seal	0	0.000585724018029943
14	12	%	1	0	7	10			0		h	h	h	h	2.33333333333333	4.66666666666667	8.5					1	1	0		1		63	Ringed seal	0	0.000937158428847909
14	11	individuals	1	0	3300	10000			91		h	h	h	h	1100	2200	6650					1	1	0.0165454545454545		1		63	Ringed seal	0	0.000937158428847909
14	5	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1	1	61	Grey seal	0.00117144803605989	0.000585724018029943
14	6	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		61	Grey seal	0	0.000585724018029943
14	7	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		61	Grey seal	0	0.000585724018029943
14	2	%	1	0	90	100			10		h	h	h	h	30	60	95					1	1	0.0666666666666667		1	1	63	Ringed seal	0.00468579214423954	0.000937158428847909
14	3	%	1	0	90	100			10		h	h	h	h	30	60	95					1	1	0.0666666666666667		1		63	Ringed seal	0	0.000937158428847909
14	4	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		63	Ringed seal	0	0.000937158428847909
14	130		1	0	0.5	1			0.25		i	i	i	i	0.166666666666667	0.333333333333333	0.75					1	1	0.3		0.5	1	83	Zooplankton - Shelf	0.00937158428847909	0.00468579214423954
14	131		1	0	0.5	1			0.75		i	i	i	i	0.166666666666667	0.333333333333333	0.75					1	1	0.8		0.5		83	Zooplankton - Shelf	0	0.00468579214423954
12	69	% of potential	1	0	75	100			5		h	h	i	i	25	50	87.5					1	1	0.04		0.75	1	69	Salmon	0.00588630506503013	0.00588630506503013
51	70	% of potential	1	0	50	100			25		h	i	h	h	16.6666666666667	33.3333333333333	75					1	1	0.3		0.875	1	66	Sea trout	0.000983113850365512	0.000983113850365512
52	70	% of potential	1	0	50	100			25		h	i	h	h	16.6666666666667	33.3333333333333	75					1	1	0.3		0.875	1	66	Sea trout	0.000216979847350632	0.000216979847350632
51	59	CPUE	1	0	210	800			130		i	h	i	h	70	140	505					1	1	0.371428571428571		0.75	1	67	Piscivores	0.000983113850365512	0.000983113850365512
52	59	trend	1	0	0.5	1			0.375		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.45		0.75	1	67	Piscivores	0.000216979847350632	0.000216979847350632
51	60	trend	1	0	0.5	1			0.375		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.45		0.75	1	68	Cyprinids	0.000983113850365512	0.000983113850365512
52	60	trend	1	0	0.5	1			0.625		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.7		0.75	1	68	Cyprinids	0.000216979847350632	0.000216979847350632
51	66	CPUE	1	0	210	800			120		i	h	i	h	70	140	505					1	1	0.342857142857143		0.75	1	64	Perch	0.000983113850365512	0.000983113850365512
52	66	trend	1	0	0.5	1			0.625		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.7		0.75	1	64	Perch	0.000216979847350632	0.000216979847350632
12	21	mm	1	0	40	50			30		h	h	h	h	13.3333333333333	26.6666666666667	45					1	1	0.45		1		61	Grey seal	0	0.000367894066564383
12	22	mm	1	0	35	50			25		h	h	h	h	11.6666666666667	23.3333333333333	42.5					1	1	0.428571428571429		1	1	61	Grey seal	0.000735788133128767	0.000367894066564383
12	18	%	1	0	90	100			95		h	h	h	h	30	60	95					1	1	0.8		1	1	61	Grey seal	0.000735788133128767	0.000367894066564383
12	14	%	1	0	7	10			7.9		h	h	h	h	2.33333333333333	4.66666666666667	8.5					1	1	0.72		1	1	61	Grey seal	0.000735788133128767	0.000367894066564383
12	13	individuals	1	0	10000	80000			32000		h	h	h	h	3333.33333333333	6666.66666666667	45000					1	1	0.725714285714286		1		61	Grey seal	0	0.000367894066564383
12	12	individuals	1	0	3300	10000			1077		h	i	i	i	1100	2200	6650					1	1	0.195818181818182		0.625		63	Ringed seal	0	0.000588630506503013
12	11	%	1	0	7	10			0		h	i	i	i	2.33333333333333	4.66666666666667	8.5					1	1	0		0.625		63	Ringed seal	0	0.000588630506503013
12	5	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1	1	61	Grey seal	0.000735788133128767	0.000367894066564383
12	6	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		61	Grey seal	0	0.000367894066564383
12	7	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		61	Grey seal	0	0.000367894066564383
12	2	%	1	0	90	100			10		h	h	h	i	30	60	95					1	1	0.0666666666666667		0.875	1	63	Ringed seal	0.00294315253251507	0.000588630506503013
12	3	%	1	0	90	100			10		h	h	h	i	30	60	95					1	1	0.0666666666666667		0.875		63	Ringed seal	0	0.000588630506503013
12	4	%	1	0	90	100			100		h	h	h	i	30	60	95					1	1	1		0.875		63	Ringed seal	0	0.000588630506503013
12	130		1	0	0.5	1			0.25		i	i	i	i	0.166666666666667	0.333333333333333	0.75					1	1	0.3		0.5	1	83	Zooplankton - Shelf	0.00588630506503013	0.00294315253251507
12	131		1	0	0.5	1			0.75		i	i	i	i	0.166666666666667	0.333333333333333	0.75					1	1	0.8		0.5		83	Zooplankton - Shelf	0	0.00294315253251507
76	70	% of potential	1	0	50	100			75		h	i	h	h	16.6666666666667	33.3333333333333	75					1	1	0.8		0.875	1	66	Sea trout	0.00105244652687946	0.00105244652687946
77	70	% of potential	1	0	50	100			75		h	i	h	h	16.6666666666667	33.3333333333333	75					1	1	0.8		0.875	1	66	Sea trout	0.000681222925002256	0.000681222925002256
77	59	trend	1	0	0.5	1			0.375		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.45		0.75	1	67	Piscivores	0.000681222925002256	0.000681222925002256
77	67	trend	1	0	0.5	1			0.375		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.45		0.75	1	75	Flounder	0.00136244585000451	0.00136244585000451
2	16	%	1	100	10	0			0		i	h	i	h	70	40	5					1	-1	1		0.75		62	Harbour seal	0	0.0044575975452002
2	15	individuals	1	0	10000	12000			11900		i	h	i	h	3333.33333333333	6666.66666666667	11000					1	1	0.98		0.75	1	62	Harbour seal	0.0111439938630005	0.0044575975452002
2	8	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1	1	62	Harbour seal	0.0111439938630005	0.0044575975452002
2	9	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		62	Harbour seal	0	0.0044575975452002
2	10	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		62	Harbour seal	0	0.0044575975452002
8	69	% of potential	1	0	75	100			20		i	i	i	i	25	50	87.5					1	1	0.16		0.5	1	69	Salmon	0.0198446572004452	0.0198446572004452
62	70	% of potential	1	0	50	100			75		h	i	h	h	16.6666666666667	33.3333333333333	75					1	1	0.8		0.875	1	66	Sea trout	0.0001896659998195	0.0001896659998195
62	59	trend	1	0	0.5	1			0.625		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.7		0.75	1	67	Piscivores	0.0001896659998195	0.0001896659998195
62	60	trend	1	0	0.5	1			0.625		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.7		0.75	1	68	Cyprinids	0.0001896659998195	0.0001896659998195
62	66	trend	1	0	0.5	1			0.625		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.7		0.75	1	64	Perch	0.0001896659998195	0.0001896659998195
8	21	mm	1	0	40	50			30		i	i	i	i	13.3333333333333	26.6666666666667	45					1	1	0.45		0.5		61	Grey seal	0	0.00124029107502783
8	22	mm	1	0	35	50			25		i	i	i	i	11.6666666666667	23.3333333333333	42.5					1	1	0.428571428571429		0.5	1	61	Grey seal	0.00248058215005565	0.00124029107502783
8	18	%	1	0	90	100			95		i	i	i	i	30	60	95					1	1	0.8		0.5	1	61	Grey seal	0.00248058215005565	0.00124029107502783
8	5	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1	1	61	Grey seal	0.00248058215005565	0.00124029107502783
8	6	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		61	Grey seal	0	0.00124029107502783
8	7	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		61	Grey seal	0	0.00124029107502783
8	14	%	1	0	7	10			7.9		h	h	h	h	2.33333333333333	4.66666666666667	8.5					1	1	0.72		1	1	61	Grey seal	0.00248058215005565	0.00124029107502783
8	13	individuals	1	0	10000	80000			32000		h	h	h	h	3333.33333333333	6666.66666666667	45000					1	1	0.725714285714286		1		61	Grey seal	0	0.00124029107502783
65	59	trend	1	0	0.5	1			0.625		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.7		0.75	1	67	Piscivores	4.93554646370446e-05	4.93554646370446e-05
65	66	trend	1	0	0.5	1			0.625		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.7		0.75	1	64	Perch	4.93554646370446e-05	4.93554646370446e-05
65	67	trend	1	0	0.5	1			0.375		i	h	i	h	0.166666666666667	0.333333333333333	0.75					1	1	0.45		0.75	1	75	Flounder	0.000148066393911134	0.000148066393911134
65	70	% of potential	1	0	50	100			25		h	i	h	h	16.6666666666667	33.3333333333333	75					1	1	0.3		0.875	1	66	Sea trout	4.93554646370446e-05	4.93554646370446e-05
8	8	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1	1	62	Harbour seal	0.00496116430011131	0.00198446572004452
8	9	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		62	Harbour seal	0	0.00198446572004452
8	10	%	1	0	90	100			100		h	h	h	h	30	60	95					1	1	1		1		62	Harbour seal	0	0.00198446572004452
8	16	%	1	0	7	10			9		h	h	h	h	2.33333333333333	4.66666666666667	8.5					1	1	0.866666666666667		1		62	Harbour seal	0	0.00198446572004452
8	15	individuals	1	0	10000	80000			1000		h	h	h	h	3333.33333333333	6666.66666666667	45000					1	1	0.06		1	1	62	Harbour seal	0.00496116430011131	0.00198446572004452
19	176	µg l-1	1	5	1.5	0.5			1.43	0.0306936664745995		1	0	1	3.83333333333333	2.66666666666667	1					1	-1	0.628	0.0112860402679518	0.502821510066988	1	18	Shelf pelagic habitats	0.0147333112722241	0.0147333112722241
25	176	µg l-1	1	4.5	1.8	0.5			3.72	0.0421097877987856		1	1	1	3.6	2.7	1.15					1	-1	0.173333333333333	1	1	1	18	Shelf pelagic habitats	0.0182549411870882	0.0182549411870882
31	176	µg l-1	1	9.5	2	0.2			3.05	0.0757450555009092		0	0.5	1	7	4.5	1.1					1	-1	0.516	1	0.625	1	18	Shelf pelagic habitats	0.00779863346469721	0.00779863346469721
29	176	µg l-1	1	9	2.7	1			2.45	0.100974004285383		0	0	1	6.9	4.8	1.85					1	-1	0.658823529411765	0.00664532316625054	0.251661330791563	1	18	Shelf pelagic habitats	0.0081544628621281	0.0081544628621281
25	186	mg l-1	1	9.5	6.37	1			7.1		1	1	1	1	8.45666666666667	7.41333333333333	3.685					1	-1	0.460063897763578		1	1	93	Macrofauna - Circalittoral mud	0.0182549411870882	0.0182549411870882
31	186	mg l-1	1	12	8.66	2			10.54		1	1	0.5	1	10.8866666666667	9.77333333333333	5.33					1	-1	0.262275449101796		0.875	1	93	Macrofauna - Circalittoral mud	0.00779863346469721	0.00779863346469721
195	127	eqr	1	0	0.29	1			0.335		0.5	1	0.5	1	0.0966666666666667	0.193333333333333	0.645					1	1	0.625352112676056		0.75	1	93	Macrofauna - Circalittoral mud	7.58663999278e-05	7.58663999278e-05
196	127	eqr	1	0	0.25	1			0.375		0.5	0.5	0.5	1	0.0833333333333333	0.166666666666667	0.625					1	1	0.666666666666667		0.625	1	93	Macrofauna - Circalittoral mud	3.79331999639e-05	3.79331999639e-05
197	127	eqr	1	0	0.29	1			0.525		0.5	1	0.5	1	0.0966666666666667	0.193333333333333	0.645					1	1	0.732394366197183		0.75	1	93	Macrofauna - Circalittoral mud	7.58663999278e-05	7.58663999278e-05
86	189		1	0	1.7	1			1.67422135888803		0.5	0.5	0.5	1	0.566666666666667	1.13333333333333	1.35				Boundary values not monotonic	0	0			0.625	1	80	Phytoplankton - Coast	0.000109522126289823	0.000109522126289823
